PMCID,used_protein_id,used_rna_id
PMC1762435,VEGF,miR-106a
PMC2655672,KIP2,miR-221
PMC2760133,TGFBR1,let-7c
PMC2769203,Klf4,miR-145
PMC2786891,ADAM12,miR-29b
PMC2845735,CDC42,miR-224
PMC2995058,CPEB4,miR-26a
PMC3002786,MEF2C,miR-21
PMC3031556,Eln,miR-29
PMC3037403,RHOB,miR-21
PMC3109565,ANKRD46,MIMAT0000076
PMC3134876,SMARCA4,miR-21
PMC3216339,Cdc42,miR-1
PMC3272348,ETS1,miR-222
PMC3274599,CYP27B1,miR-21
PMC3341631,NCX1,miR-1
PMC3354052,GDF3,hsa-miR-483-3p
PMC3377607,RAP1A,miR-337
PMC3411779,PTEN,miR-21
PMC3422256,TGFBR2,MIMAT0000103
PMC3445575,Bnip3,miR-145
PMC3467063,SMAD4,MIMAT0000231
PMC3475433,KCNJ2,miR-212
PMC3483559,COL3A1,miR-29b
PMC3491822,Atp8b1,miR-33
PMC3511415,SMAD4,hsa-miR-182-5p
PMC3514786,Itpr2,miR-133a
PMC3537730,RGS5,miR-92a
PMC3540168,FGF2,miR-424
PMC3563647,CTGF,miR-145
PMC3575372,Spry1,miR-21
PMC3616669,PXN,miR-137
PMC3635019,APAF1,miR-221
PMC3635988,IRAK1,miR-21
PMC3645761,S100A10,miR-590
PMC3653886,TGFBR2,miR-655
PMC3663613,MAP3K14,miR-31
PMC3668476,SMAD4,miR-183
PMC3706477,POT1,hsa-miR-141-3p
PMC3706477,PTEN,hsa-miR-514a-3p
PMC3706477,TP53,hsa-miR-27a-3p
PMC3706477,MXI1,hsa-miR-105-5p
PMC3706477,MXI1,hsa-miR-24-3p
PMC3710353,Gata-4,miR-200b
PMC3726696,SMAD4,hsa-mir-224-5p
PMC3735565,ITGB1,miR-29c
PMC3738132,RECK,miR-92a
PMC3749101,Nr1h3,miR-155
PMC3769379,STAT3,miR-130b
PMC3776993,ER81,miR-17
PMC3777988,Myocd,miR-1a
PMC3780533,MAP3K1,miR-492
PMC3784378,Cdk2,miR-29b
PMC3787033,MAT2B,hsa-miR-21-3p
PMC3796557,SPRY1,miR-21
PMC3798259,MGMT,miR-221
PMC3813610,VEGFR2,miR-200c
PMC3818330,FHOD3,miR-335
PMC3823839,S100A1,miR-138
PMC3827282,Ep300,miR-20a
PMC3828382,PPARG,miR-27a
PMC3833206,ITGA6,hsa-miR-29b-3p
PMC3833424,Mylk,miR-1
PMC3847338,Ppp2cb,miR-133b
PMC3852118,MAP2K3,miR-21
PMC3854259,Zfpm2,miR-17
PMC3856448,MTTP,miR-30c
PMC3863899,SREBF1,miR-33a
PMC3864473,CDC25A,miR-21
PMC3944443,GDF-5,miR-21
PMC3974749,SMAD4,miR-454
PMC3986586,Irs1,miR-126
PMC3996063,CCR6,mir-518a-5p
PMC3996726,LXRα,miR-206
PMC4016586,TGFBR2,miR-93
PMC4035317,VEGFA,miR-361
PMC4076206,TGFBR1,let-7b
PMC4097848,HAND1,miR-363
PMC4102469,VPS4A,miR-103
PMC4102469,VPS4A,miR-16
PMC4102469,VPS4A,miR-107
PMC4107867,SOX6,miR-208
PMC4113387,GATA6,miR-10a
PMC4123095,TIAM1,miR-29b
PMC4150934,FGF2,miR-152
PMC4163842,VEGFA,miR-29a
PMC4170607,KCNH2,miR-96
PMC4174502,VEGFA,miR-377
PMC4207943,Bdnf,miR-155
PMC4228492,TWIST2,miR-138
PMC4294356,ABCC5,miR-129
PMC4331751,RTEF-1,mmu-miR-125a-5p
PMC4342823,YAP1,miR-15a
PMC4365889,Dab2,miR-145
PMC4410939,RXRA,MIMAT0000084
PMC4444526,Stat3,miR-21
PMC4479415,Hnf4,miR-34a
PMC4505325,FOXN3,miR-135b
PMC4514882,PTEN,hsa-miR-21-5p
PMC4534052,smoc1,MIMAT0001290
PMC4538859,EFNB2,miR-503
PMC4546263,Caspase-3,let-7b
PMC4632798,MEIS2,miR-134
PMC4696296,TGFβR1,miR-490
PMC4711995,ABCA1,miR-148a
PMC4737258,Jag1,miR-199b
PMC4798737,FIH1,miR-31
PMC4816102,MAF,hsa-miR-486-3p
PMC4848472,MLC2,miR-223
PMC4848533,CREB3L1,miR-146a
PMC4856285,LMOD1,miR-214
PMC4856728,FRAT2,miR-29b
PMC4868725,CDK4,miR-711
PMC4888462,LRP6,miR-29b
PMC4911176,Xbp1,miR-214
PMC4914854,STAT3,miR-106a
PMC5029176,MFN2,miR-17
PMC5029709,SMAD1,miR-26b
PMC5053710,EGFR,miR-218
PMC5056537,PTEN,miR-21
PMC5059686,E2F2,hsa-mir-155-5p
PMC5066269,VEGF,miR-16
PMC5108343,FGF2,miR-205
PMC5210428,Nckap1,miR-214
PMC5214094,TIMP3,miR-181b
PMC5221472,TNFSF15,miR-31
PMC5221472,TNFSF15,miR-20a
PMC5226485,Myo1d,mmu-miR-155-5p
PMC5264139,BMP2,miR-98
PMC5302907,TGF-β1,miR-564
PMC5318290,Cacnb2,miR-499
PMC5351680,PCSK9,hsa-mir-224-5p
